Topic,Learners,Courses,Release Year,YouTube Views,,Course Title,Learners,,Video Title,Views,Comments,Total LinkedIn Courses,116,,Artist,Views,Videos,,Talent,Views,,Channel,Views,Channel,Views
,,,,,,,,,,,,,,,Vanessa Carlton,"23,924",1,,,,,,,,
,,,,,,,,,,,,,,,Vetiver,"21,975",2,,,,,,,,
,,,,,,,,,,,,,,,Wardell,"1,700",1,,,,,,,,
,,,,,,,,,,,,,,,Waters,"14,529",3,,,,,,,,
,,,,,,,,,,,,,,,White Arrows,"2,000",1,,,,,,,,
,,,,,,,,,,,,,,,Wild Child,"115,091",4,,,,,,,,
,,,,,,,,,,,,,,,Wilsen,"71,081",2,,,,,,,,
,,,,,,,,,,,,,,,Wrabel,"10,849",1,,,,,,,,
,,,,,,,,,,,,,,,Yellerkin,"109,719",4,,,,,,,,
,,,,,,,,,,,,,,,Young Buffalo,"2,100",1,,,,,,,,
,,,,,,,,,,,,,,,Younger Me,"9,779",2,,,,,,,,
,,,,,,,,,,,,,,,Zella Day,"747,864",2,,,,,,,,
,,,,,,,,,,,,,,,n/a,"312,937",11,,,,,,,,
,,,,,,,,,,,,,,,n/a (Animated),"1,415,062",4,,,,,,,,
,,,,,,,,,,,,,,,of Montreal,"4,157",1,,,,,,,,
,,,,,,,,,,,,,,,Ásgeir,"41,318",1,,,,,,,,
